trId	geneId	NA06984	NA06985	NA06986	NA06989	NA06994	NA07037	NA07048	NA07051	NA07056	NA07346	NA07347	NA07357	NA10847	NA10851	NA11829	NA11830	NA11831	NA11832	NA11840	NA11843	NA11881	NA11892	NA11893	NA11894	NA11918	NA11920	NA11930	NA11931	NA11992	NA11993	NA11994	NA11995	NA12004	NA12005	NA12006	NA12043	NA12044	NA12045	NA12058	NA12144	NA12154	NA12155	NA12156	NA12234	NA12249	NA12272	NA12273	NA12275	NA12282	NA12283	NA12286	NA12287	NA12340	NA12341	NA12342	NA12347	NA12348	NA12383	NA12399	NA12400	NA12413	NA12489	NA12546	NA12716	NA12717	NA12718	NA12749	NA12750	NA12751	NA12760	NA12761	NA12762	NA12763	NA12775	NA12776	NA12777	NA12778	NA12812	NA12813	NA12814	NA12815	NA12827	NA12829	NA12830	NA12842	NA12843	NA12872	NA12873	NA12874	NA12889	NA12890
ENST00000397668.2	ENSG00000095066.6	108.659729	0	93.853699	0	0	90.650543	93.632118	151.82164	155.503052	0	10.078382	36.550205	40	166.550781	0	0	206.605255	0	0	132	34.876331	130.546967	0	0	0	0	0	106.127998	0	75.093216	85.319733	98	0	0	0	56.297539	33.135098	135.782867	34.239758	179.865829	68.630432	0	57.491653	0	0	0	99.999992	0	55.275257	83.124496	0	0	41.986588	141.86377	61.665768	0	71.809357	0	0	0	115.266151	31.142776	57.544434	45.967415	0	0	0	0	0	0	0	0	101.999992	0	0	70.826546	215.879181	0	74.985046	0	0	0	0	0	116.075378	0	0	0	0	0	74.475594
ENST00000264827.4	ENSG00000095066.6	27.340265	159.999985	78.146309	200	82	51.349461	60.367874	70.178352	32.496944	162	131.921616	109.449799	0	39.449211	174	98	109.394753	172	148	0	55.123665	81.453026	209.999985	158	268	136	54	23.872007	136	74.906784	34.680264	0	50	144	176	211.702454	216.864899	98.217125	61.760239	34.134159	71.36956	136	150.508347	96	128	162	0	104	62.724743	50.875504	150	64	28.013411	54.136234	16.334232	148	26.190643	178	50	94	22.73385	18.857224	56.455566	36.032585	262	94	102	84	186	80	78	47.999996	0	110.000008	90	39.173454	92.120811	58	33.014954	56	112	110	190.000015	144	47.924618	68	234	62.000004	150	140	25.524405
ENST00000221891.3	ENSG00000105290.4	13.034247	38.678764	26	14.796192	20	15.405914	9.63278	18.127869	38.666855	45.999397	11.555991	25.474874	4.418384	23.203968	24.912897	6.313921	80.910385	27.076591	12.311963	24	22.644802	21.064669	20.575588	25.429432	19.309229	14.652724	3.022987	16.617384	20.712576	14.957607	21.936647	337.509338	8.02024	12.289482	12.048951	22.639133	8.311063	8.479358	14.219949	8.436954	21.999998	4.73778	16.781727	26.823273	20.265154	53.509995	22.284731	27.88513	33.345543	49.554054	51.60339	6.956752	0	0	11.824817	7.177733	4.232258	9.612021	10.840451	22.541058	0	10.610178	16.557775	8	10.903026	25.622316	16.209816	0	13.609899	1.833718	6.907691	17.728043	27.241922	6	10.523485	133.84729	525.537354	0	28.445419	4	0	3.637034	15.825963	48.000004	42.998795	10.119365	12.838224	1.674962	28.470486	10.858026	0
ENST00000537454.1	ENSG00000105290.4	14.965754	3.321234	0	15.203809	0	0.594085	24.36722	11.87213	1.333145	34.000603	14.444009	18.525124	7.581615	18.79603	9.087102	19.686079	3.089615	28.923409	19.688038	0	5.355197	24.935331	39.424412	16.570568	26.690771	27.347275	4.977013	3.382617	29.287422	25.042395	26.063353	46.49065	21.979761	5.710518	1.95105	69.36087	1.688938	9.520642	9.780051	13.563046	0	7.26222	9.218273	35.176727	27.734846	14.490002	39.715267	18.114868	38.654453	16.445944	32.39661	9.043248	4	22	14.175182	20.822268	15.767741	8.387979	23.159548	27.458942	8	13.389822	21.442225	0	19.096973	6.377683	19.790184	16	22.3901	2.166282	9.092309	10.271956	28.75808	0	9.476515	78.15271	36.462688	6	3.554581	0	10	10.362966	16.174038	0	1.001203	1.880636	17.161777	4.325038	15.529514	11.141974	22
ENST00000538771.1	ENSG00000079462.2	271.454315	129.569717	136.994736	86.77298	52.062614	91.927849	162.602417	161.61705	127.17466	165.960281	120.306175	206.641617	36.55685	225.820038	221.780579	33.647804	238.347321	154.717819	326.775085	214.770386	160.319061	207.594284	140.334793	81.039589	234.649109	358.322144	117.216499	291.905151	295.509796	243.454239	146.37973	48.986622	21.565748	112.20105	229.560287	111.413963	194.088882	123.937386	142.432175	249.967316	268.292206	243.08342	306.474396	237.294037	137.756714	159.902557	73.372513	208.590149	293.164124	163.032578	190.650696	46.856617	112.392204	146.685089	78.19783	228.439072	111.944427	123.232903	67.294228	16.113731	324.511688	63.129627	325.613251	40.920544	146.146301	90.709129	41.295609	108.708275	184.464844	160.328506	95.007545	124.862106	259.416351	40.678841	85.423203	191.220459	235.019928	59.411446	234.326843	52.298782	154.173615	63.261631	140.013641	300.139893	165.237793	113.476013	235.187134	63.421238	239.749237	188.326706	92.28891
ENST00000262890.2	ENSG00000079462.2	487.327728	364.430298	281.00528	549.227051	133.937378	364.072144	355.397583	444.382965	422.825317	702.039734	247.693817	289.358398	229.512741	480.179962	434.219452	348.352173	601.652649	371.282166	723.224915	353.229614	253.680939	328.405731	469.665192	340.960419	531.350891	637.588623	324.783508	1099.018188	154.490219	266.545746	171.62027	205.013382	130.43425	423.79895	466.439728	648.585999	531.911133	394.062622	181.567825	568.032715	876.453674	212.916565	1031.525635	352.705963	330.243286	502.097443	366.627502	307.409851	250.835892	412.967407	479.349335	159.143387	95.607796	465.314911	417.802155	621.560913	222.055573	400.76709	248.705765	309.886261	369.488281	270.870361	238.38678	125.079453	385.853699	143.290878	407.348236	211.291718	489.535156	183.671494	474.992432	307.137878	442.583649	235.321167	262.576782	423.990723	690.980103	256.588531	459.673157	163.701218	459.826355	282.738342	429.986359	399.860077	442.762177	156.523987	600.812866	222.578751	592.250732	409.673309	421.71109
ENST00000317178.5	ENSG00000152443.8	512.326355	984.4823	751.60376	995.297241	657.88208	932.948364	758.993713	788.669312	676.857117	881.313721	906.303406	858.075134	697.76886	1116.262573	641.419495	1268.790039	1850.031616	950.83728	604.633057	922.313477	863.729431	672.207275	1397.899292	673.392334	908.12677	947.167053	415.661652	755.678406	773.040161	981.143738	1043.912354	462.000031	304.418732	822.255005	1030.744263	1382.427368	1006.303772	655.963074	286.124939	829.516113	835.296326	663.491211	612.588745	920.463684	678.497559	1025.005249	440.571838	731.436646	1009.269714	735.378174	993.311523	727.377869	501.678162	1273.307983	680.903931	1080.052979	452.892731	706.950806	473.403351	792.012878	438.319855	286.130646	916.032532	372.881195	743.636414	393.057281	750.040161	453.637238	1024.30127	328.288696	524.360596	352.751495	378.789124	446.265991	565.430664	517.517822	1056.168335	436.882721	737.149719	374.072021	786.181091	223.181702	555.165283	998.81543	573.897217	390.245789	1252.686401	504.711212	1039.765991	527.664612	752.633057
ENST00000473585.1	ENSG00000152443.8	0	15.181611	12.737166	16.91791	0	0	27.277643	24.098324	14.385723	0	0	20.443916	2.23111	26.920177	0	0	16.504435	0	25.39126	28.531816	0	35.999947	0	17.746843	35.878937	0	0	7.143526	28.632849	0	19.442978	0	0	0	14.465032	0	0	4.010668	0	18.845259	18.755005	40.635048	0	0.590427	0	0	46.37627	41.934952	22.457138	0	0	0	0	18.015181	0	0	21.028967	7.63676	0	34.718658	0	0	3.123191	6.310733	0	0	16.468584	0	0	2.410619	50.591026	0	1.730792	22.336267	44.224129	34.028313	3.322953	0	27.928627	26.514973	0	47.450268	15.289285	0	0	0	3.310129	0	4.618544	5.877284	12.111919
ENST00000431353.1	ENSG00000152443.8	30.952133	9.727123	8.384026	31.154652	16.389793	2.601032	0	20.842165	18.900494	0	0	10.698202	0	8.871455	14.237019	52.399532	77.143044	10.806751	20.519638	18.91445	8.270555	35.413563	18.623547	0	11.523115	68.071014	16.274506	19.211281	0	23.359167	57.174118	0	0	22.86573	8.517156	0	38.248951	53.372101	20.821363	55.050655	9.454129	22.634872	22.609798	0	47.817886	11.100686	8.664154	40.19239	22.415247	30.83338	9.583299	0	18.869205	58.900806	14.635701	25.000675	38.105736	33.725616	0	0	55.544373	5.070963	6.468293	18.808077	36.921978	18.35813	12.017936	25.050779	8.60177	2.69276	10.370862	0	0	40.772373	0	22.495132	39.270355	9.117276	62.417389	10.209317	62.629742	0	14.358816	33.303383	0	19.754198	48.697697	0	0	2.830297	13.180773
ENST00000489376.1	ENSG00000152443.8	5.93069	6.60896	38.961292	190.630188	3.728094	4.450625	169.314743	108.583488	96.877312	0	23.939747	139.534286	0	8.733271	32.343487	0	361.207947	5.836312	0	173.623444	0	102.379265	9.054821	0	5.880543	125.957214	15.414217	86.681183	0	201.497116	161.009109	0	12.21116	104.676392	0	16.160938	184.895035	73.677986	14.953097	43.468201	49.889744	66.198517	17.381065	4.945921	14.684953	23.495356	14.170062	41.841076	5.65987	31.495335	9.105154	50.622143	72.628929	227.767242	3.324343	43.031834	47.35363	52.302906	0	45.281593	28.770382	0	2.609167	0	48.971157	4.010417	0	19.594028	4.086657	0	15.34586	0	0	82.552834	78.832054	9.350249	112.608917	0	134.562943	13.203703	12.554141	0.088604	0	102.059555	2.102817	0	14.167892	4.039382	4.310773	5.413873	4.074256
